0,0.000000,[],None
0,0.000258,[],None
0,0.000000,[],None
1,0.000000,"[(0, 0)]",None
1,0.000000,"[(0, 0)]",None
1,0.000000,"[(0, 0)]",None
2,0.001995,"[(0, 1), (1, 1)]",None
2,0.000996,"[(1, 1), (0, 1)]",None
2,0.001995,"[(1, 1), (0, 1)]",None
3,0.541024,"[(0, 0), (0, 2), (2, 0)]",None
3,0.478384,"[(1, 2), (2, 0), (2, 1)]",None
3,0.568959,"[(0, 2), (0, 0), (1, 1)]",None
4,0.097771,"[(3, 0), (0, 1), (2, 2), (2, 3)]","[(2, 3), (1, 0), (0, 2), (3, 1)]"
4,0.762375,"[(1, 2), (2, 2), (0, 3), (3, 0)]","[(0, 2), (3, 1), (2, 3), (1, 0)]"
4,0.651290,"[(1, 1), (3, 0), (0, 0), (3, 3)]","[(0, 1), (3, 2), (2, 0), (1, 3)]"
5,0.262213,"[(4, 4), (3, 1), (0, 0), (1, 1), (4, 0)]","[(1, 1), (4, 0), (2, 4), (3, 2), (0, 3)]"
5,3.582611,"[(1, 2), (3, 1), (2, 2), (3, 0), (3, 2)]","[(2, 2), (3, 0), (0, 1), (1, 4), (4, 3)]"
5,0.586430,"[(2, 1), (1, 1), (3, 3), (2, 4), (0, 4)]","[(1, 1), (0, 4), (3, 0), (4, 2), (2, 3)]"
6,4.293723,"[(1, 0), (0, 5), (3, 2), (2, 4), (5, 2), (0, 1)]","[(1, 0), (2, 4), (5, 2), (4, 5), (3, 1), (0, 3)]"
6,1.258583,"[(4, 4), (0, 4), (4, 2), (1, 2), (2, 0), (4, 5)]","[(0, 4), (1, 2), (2, 0), (3, 5), (5, 1), (4, 3)]"
6,1.759986,"[(2, 1), (4, 2), (2, 5), (5, 4), (2, 4), (0, 1)]","[(4, 2), (2, 5), (5, 4), (0, 1), (3, 0), (1, 3)]"
